Packet_Count,Duration_sec,Num_Distinct_Dst_Ports,Mean_TTL,StdDev_TTL,Initial_TTL,Protocol_Diversity,Label,SYN_Ratio,ACK_Ratio,FIN_Ratio,RST_Ratio,PSH_Ratio,URG_Ratio,NULL_Ratio,SynAck_Ratio,UDP_Packet_Count,UDP_Payload_Avg,Protocol_1,Protocol_2,Protocol_6,Protocol_17
403,0.015265,400,159.73697270471465,95.49970598874752,255,1,1,0.4987593052109181,0.5037220843672456,0.0,0.49627791563275436,0.0,0.0,0.0,0.9901477832512315,0.0,0.0,0,0,1,0
1,0.001,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,1,120.0,0.0,120,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
4,5.820934,1,64.0,0.0,64,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0,0,0,1
2,5.820838,2,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,121.0,0,0,0,1
4,6.554258,1,128.0,0.0,128,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,50.0,0,0,0,1
6,5.945589,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,74.0,0,0,0,1
5,6.041812,1,204.2,101.6,255,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,46.8,0,0,0,1
4,5.985068,1,255.0,0.0,255,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,176.0,0,0,0,1
1,0.001,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
10,5.576134,1,55.0,0.0,55,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
10,5.446562,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.046308,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000162,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
3,0.595944,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,32.666666666666664,0,0,0,1
3,0.675423,3,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,57.666666666666664,0,0,0,1
2,0.041167,1,247.0,0.0,247,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000670,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
403,0.014690,400,159.73697270471465,95.49970598874752,255,1,1,0.4987593052109181,0.5037220843672456,0.0,0.49627791563275436,0.0,0.0,0.0,0.9901477832512315,0.0,0.0,0,0,1,0
8,7.987880,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,74.0,0,0,0,1
2,0.014753,1,247.0,0.0,247,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000767,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,1,128.0,0.0,128,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.0,0,0,0,1
3,4.602779,1,64.0,0.0,64,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0,0,0,1
6,0.315475,1,55.0,0.0,55,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
6,0.315297,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,4.602674,2,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,121.0,0,0,0,1
2,0.230945,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.153107,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
3,0.132759,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.122461,1,50.0,0.0,50,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0,0,0,1
1,0.001,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0,0,0,1
1,0.001,1,255.0,0.0,255,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,160.0,0,0,0,1
3,0.002336,1,255.0,0.0,255,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,303.3333333333333,0,0,0,1
412,1.112574,200,55.87621359223301,9.208307626944086,53,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,43.758620689655174,0,0,0,1
9,8.089745,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,74.0,0,0,0,1
3,4.710810,1,64.0,0.0,64,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0,0,0,1
2,4.710758,2,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,121.0,0,0,0,1
2,0.012902,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000135,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,0,1.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
1,0.001,0,1.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
1,0.001,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0,0,0,1
1,0.001,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0,0,0,1
2,0.079839,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,1,120.0,0.0,120,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.014585,1,247.0,0.0,247,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000631,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
9,0.123040,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,432.1111111111111,0,0,0,1
12,0.094131,1,60.0,0.0,60,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,385.5833333333333,0,0,0,1
9,7.987322,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,74.0,0,0,0,1
6,5.285924,1,64.0,0.0,64,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
2,4.530519,2,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,121.0,0,0,0,1
5,1.648933,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,41.0,0,0,0,1
5,1.648890,5,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,96.8,0,0,0,1
9,0.151289,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,380.0,0,0,0,1
12,0.151681,1,57.0,0.0,57,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,383.3333333333333,0,0,0,1
1,0.001,1,128.0,0.0,128,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,304.0,0,0,0,1
2,0.115030,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.040203,1,55.0,0.0,55,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
13,0.128226,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,571.3076923076923,0,0,0,1
16,0.127389,1,60.0,0.0,60,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,557.125,0,0,0,1
2,0.011667,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000081,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.013969,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000151,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,1,52.0,0.0,52,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
412,1.117197,200,55.390776699029125,9.543472957774217,38,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,43.758620689655174,0,0,0,1
412,1.111043,200,55.65291262135922,9.341338143582712,43,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,43.758620689655174,0,0,0,1
2,0.921612,1,1.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,39.0,0,0,0,1
9,8.089709,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,74.0,0,0,0,1
3,1.433592,1,128.0,0.0,128,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,0,0,0,1
2,0.188151,1,55.0,0.0,55,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.111561,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
3,5.322490,1,64.0,0.0,64,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0,0,0,1
2,5.322372,2,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,121.0,0,0,0,1
2,0.010503,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000125,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.015957,1,58.0,0.0,58,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2,0.000126,1,64.0,0.0,64,1,1,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1,0.001,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0,0,0,1
1,0.001,1,64.0,0.0,64,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.0,0,0,0,1
